type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,pnl_points,mae_points,atr_at_exit,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-09-01 22:00:00,2025-09-02 06:00:00,3475.34,3474.73,-1.33,-3.15,14.78,24,Signal Exit,829
Long,True,2.0,2025-09-02 02:00:00,2025-09-02 06:00:00,3477.93,3474.73,-6.84,-3.6,14.78,0,Signal Exit,830
Long,False,1.0,2025-09-02 10:00:00,2025-09-02 14:00:00,3497.57,3493.1,-4.69,-7.55,16.47,0,Signal Exit,831
Long,False,1.0,2025-09-02 22:00:00,2025-09-03 14:00:00,3489.6,3530.07,39.75,-0.61,20.45,24,Signal Exit,832
Long,True,1.4999999999999998,2025-09-03 02:00:00,2025-09-03 14:00:00,3529.4,3530.07,0.68,-6.3,20.45,0,Signal Exit,833
Long,False,1.0,2025-09-03 18:00:00,2025-09-04 06:00:00,3534.32,3559.97,24.93,-2.1,20.25,24,Signal Exit,834
Long,True,1.5999999999999999,2025-09-03 22:00:00,2025-09-04 06:00:00,3554.06,3559.97,8.3,-4.35,20.25,24,Signal Exit,835
Long,False,1.0,2025-09-04 18:00:00,2025-09-05 02:00:00,3538.62,3542.9,3.56,-3.61,23.29,24,Signal Exit,836
Long,True,1.3,2025-09-04 22:00:00,2025-09-05 02:00:00,3546.97,3542.9,-6.23,-15.55,23.29,24,Signal Exit,837
Long,False,1.0,2025-09-05 06:00:00,2025-09-05 18:00:00,3543.92,3552.47,8.33,-3.78,20.24,0,Signal Exit,838
Long,False,1.0,2025-09-05 22:00:00,2025-09-08 06:00:00,3594.34,3583.72,-12.34,-21.29,21.98,72,Signal Exit,839
Long,True,1.4999999999999998,2025-09-08 14:00:00,2025-09-09 18:00:00,3591.25,3653.81,92.76,-2.97,19.55,24,Signal Exit,840
Long,False,1.0,2025-09-08 10:00:00,2025-09-09 18:00:00,3589.59,3653.81,63.5,-10.12,19.55,24,Signal Exit,841
Long,False,1.0,2025-09-09 22:00:00,2025-09-10 02:00:00,3666.02,3642.86,-23.88,-39.29,22.69,24,Signal Exit,842
Long,False,1.0,2025-09-10 10:00:00,2025-09-10 22:00:00,3630.69,3651.18,20.27,-0.6,20.82,0,Signal Exit,843
Long,False,1.0,2025-09-11 10:00:00,2025-09-11 14:00:00,3641.01,3625.18,-16.05,-17.86,19.91,0,Signal Exit,844
Long,False,1.0,2025-09-11 22:00:00,2025-09-12 06:00:00,3630.15,3634.55,3.68,-4.1,19.77,24,Signal Exit,845
Long,True,1.4999999999999998,2025-09-12 02:00:00,2025-09-12 06:00:00,3635.18,3634.55,-1.27,-7.32,19.77,0,Signal Exit,846
Long,False,1.0,2025-09-12 10:00:00,2025-09-12 18:00:00,3646.4,3646.49,-0.13,-8.77,16.76,0,Signal Exit,847
Long,True,1.7999999999999998,2025-09-12 14:00:00,2025-09-12 18:00:00,3653.18,3646.49,-12.44,-27.99,16.76,0,Signal Exit,848
Long,False,1.0,2025-09-12 22:00:00,2025-09-13 02:00:00,3650.12,3648.72,-2.12,-8.27,16.47,24,Signal Exit,849
Long,False,1.0,2025-09-15 14:00:00,2025-09-15 18:00:00,3643.51,3641.24,-2.49,-9.86,15.98,0,Signal Exit,850
Long,True,1.7999999999999998,2025-09-16 02:00:00,2025-09-16 06:00:00,3681.8,3680.72,-2.34,-10.78,15.32,0,Signal Exit,851
Long,False,1.0,2025-09-15 22:00:00,2025-09-16 06:00:00,3657.17,3680.72,22.83,-3.19,15.32,24,Signal Exit,852
Long,True,2.0,2025-09-16 14:00:00,2025-09-16 22:00:00,3682.68,3695.55,25.3,-2.0,15.6,0,Signal Exit,853
Long,False,1.0,2025-09-16 10:00:00,2025-09-16 22:00:00,3679.35,3695.55,15.98,-4.9,15.6,0,Signal Exit,854
Long,False,1.0,2025-09-17 06:00:00,2025-09-17 10:00:00,3689.58,3679.54,-10.26,-13.69,16.14,0,Signal Exit,855
Long,False,1.0,2025-09-17 22:00:00,2025-09-18 06:00:00,3678.65,3661.25,-18.12,-32.4,19.31,24,Signal Exit,856
Long,True,1.7999999999999998,2025-09-18 02:00:00,2025-09-18 06:00:00,3686.53,3661.25,-45.9,-72.5,19.31,0,Signal Exit,857
Long,False,1.0,2025-09-18 18:00:00,2025-09-18 22:00:00,3671.67,3642.02,-29.87,-43.93,23.42,0,Signal Exit,858
Long,False,1.0,2025-09-20 02:00:00,2025-09-22 22:00:00,3678.64,3722.36,42.5,-0.54,20.44,48,Signal Exit,859
Long,True,0.6,2025-09-22 06:00:00,2025-09-22 22:00:00,3684.78,3722.36,22.42,-0.67,20.44,0,Signal Exit,860
Long,False,1.0,2025-09-23 02:00:00,2025-09-23 14:00:00,3746.55,3752.93,6.16,-10.1,18.78,0,Signal Exit,861
Long,True,1.7999999999999998,2025-09-23 06:00:00,2025-09-23 14:00:00,3745.46,3752.93,13.05,-16.22,18.78,0,Signal Exit,862
Long,False,1.0,2025-09-23 18:00:00,2025-09-23 22:00:00,3785.01,3783.86,-1.37,-10.85,19.9,0,Signal Exit,863
Long,False,1.0,2025-09-24 14:00:00,2025-09-24 18:00:00,3774.96,3768.47,-6.71,-11.99,22.02,0,Signal Exit,864
Long,False,1.0,2025-09-25 06:00:00,2025-09-25 10:00:00,3738.94,3735.81,-3.35,-5.83,21.53,0,Signal Exit,865
Long,False,1.0,2025-09-25 14:00:00,2025-09-25 22:00:00,3738.58,3733.72,-5.08,-16.49,23.37,0,Signal Exit,866
Long,False,1.0,2025-09-26 02:00:00,2025-09-26 10:00:00,3741.75,3739.09,-2.88,-5.16,21.96,0,Signal Exit,867
Long,False,1.0,2025-09-26 14:00:00,2025-09-29 06:00:00,3741.99,3760.57,16.86,-2.86,21.71,72,Signal Exit,868
Long,False,1.0,2025-09-29 10:00:00,2025-09-29 18:00:00,3778.67,3807.49,28.6,-1.07,22.34,0,Signal Exit,869
Long,True,0.7000000000000001,2025-09-29 14:00:00,2025-09-29 18:00:00,3813.73,3807.49,-4.52,-6.05,22.34,0,Signal Exit,870
Long,False,1.0,2025-09-29 22:00:00,2025-09-30 18:00:00,3821.24,3798.48,-24.78,-28.13,26.05,24,Stop Loss Exit,871
Long,True,0.7000000000000001,2025-09-30 02:00:00,2025-09-30 18:00:00,3829.04,3798.48,-22.46,-25.15,26.05,0,Stop Loss Exit,872
Long,False,1.0,2025-09-30 22:00:00,2025-10-01 14:00:00,3823.3,3863.33,39.31,-3.14,27.62,24,Signal Exit,873
Long,True,1.0999999999999999,2025-10-01 02:00:00,2025-10-01 14:00:00,3844.06,3863.33,20.95,-4.77,27.62,0,Signal Exit,874
Long,False,1.0,2025-10-01 18:00:00,2025-10-01 22:00:00,3888.95,3872.94,-16.23,-25.44,27.92,0,Signal Exit,875
Long,False,1.0,2025-10-02 06:00:00,2025-10-02 10:00:00,3869.01,3865.14,-4.09,-16.14,27.8,0,Signal Exit,876
Long,False,1.0,2025-10-02 14:00:00,2025-10-02 22:00:00,3867.77,3874.96,6.97,-6.1,26.86,0,Signal Exit,877
Long,True,1.0999999999999999,2025-10-02 18:00:00,2025-10-02 22:00:00,3879.21,3874.96,-4.92,-6.31,26.86,0,Signal Exit,878
Long,False,1.0,2025-10-03 06:00:00,2025-10-03 14:00:00,3857.48,3854.58,-3.12,-19.48,22.96,0,Signal Exit,879
